"vendor_id","vendor_address","Geohash","permitType",lastCheckup,"vendorName","vendor_id"
"NA","13215 N US 183 HWY SVRD NB, AUSTIN, TX 78729","9v6mnvup","Mobile Food","04-20-2023","COA - GBJB'S","22225"
"NA","4720 S CONGRESS AVE, AUSTIN, TX 78745","9v67zhq4","Mobile Food","12-07-2023","COA - TAQUERIA MELCHOR","23140", 
"NA","12530 RESEARCH BLVD SB, AUSTIN, TX 78759","9v6mp7ku","Mobile Food","10-02-2023","COA - TEHRAN CAFE ","323289", 
"NA","7612 BRODIE LN, AUSTIN, TX 78745","9v67ven2","Mobile Food","04-02-2024","COA - THAI ESAN","23676", 
"NA","3651 MONTOPOLIS DR AUSTIN, TX 78744 ","9v6eb6v6","Mobile Food","04-23-2024","COA - MICHELADAS LA BONITA","8038", 
"NA","1108 E 12TH ST AUSTIN, TX 78702 ","9v6s0nux","Mobile Food","04-30-2024","COA - EAST SIDE PAPI'S LLC","23842", 
"NA","1816 E 6TH ST, AUSTIN, TX 78702","9v6s0m08","Mobile Food","01-25-2024","COA - GOLDEN TIGER 2","23333", 
"NA","3505 WELLS BRANCH PKWY AUSTIN, TX 78728 ","9v6t0v6g","Mobile Food","05-30-2024","COA - TACO AMIGOS, THE","23848", 
"NA","606 W SLAUGHTER LN, AUSTIN, TX 78748","9v67wsbd","Mobile Food","07-25-2023","COA - AUTENTICOS MICHOACANOS","23141", 
"NA","6519 N LAMAR BLVD, AUSTIN, TX 78752","9v6s8618","Mobile Food","01-02-2024","COA - PAPRIKA ATX","23266", 
"NA","10410 N LAMAR BLVD AUSTIN, TX 78753 ","9v6sbcr4","Mobile Food","04-25-2023","COA - TORTA TAMPICO 512 ATX","22268", 
"NA","1425 E 7TH ST AUSTIN, TX 78702 ","9v6s0jmj","Mobile Food","02-29-2024","COA - TAMALES Y ANOTJITOS VERACRUZ","23539", 
"(512) 803-9967","9318 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6s9n8c","Mobile Food","10-11-2023","TACOS LYLY'S","22441", 
"NA","6811 N FM 620 RD, AUSTIN, TX 78732","9v6kvq2k","Mobile Food","04-27-2023","COA - POLLO RICO EXPRESS #8","22184", 
"NA","7930 THAXTON RD, AUSTIN, TX 78747","9v67xcbw","Mobile Food","08-24-2023","LA TRAILA #5","22850", 
"NA","730 SHADY LN AUSTIN, TX 78702 ","9v6s0gej","Mobile Food","07-20-2023","COA - RANCH HAND #3","22534", 
"(512) 902-9632","3404 S US 183 HWY SB, AUSTIN, TX 78744","9v6d33sn","Mobile Food","11-07-2023","COA - TAQUERIA LOS 6 HERMANOS #2","23023", 
"(405) 420-5596","2903 E 12TH ST, AUSTIN, TX 78702","9v6s0xe8","Mobile Food","03-07-2023","COA - FIL N' VIET","22070", 
"NA","737 W FM 1626 RD, AUSTIN, TX 78652","9v67myuu","Mobile Food","04-11-2024","COA - CHIVATA #5","22764", 
"NA","3901 PROMONTORY POINT DR, AUSTIN, TX 78744","9v6eb576","Mobile Food","05-30-2024","COA - SIDE EYE PIE","23958", 
"(512) 952-9713","4410 E WILLIAM CANNON DR, AUSTIN, TX 78744","9v67xwbv","Mobile Food","11-07-2023","COA - HONDURAS FOOD DOS","23046", 
"NA","9201 CIRCUIT OF THE AMERICAS BLVD, AUSTIN, TX 78617","9v6e6n1b","Mobile Food","02-27-2024","COA - AUSTIN SCOOPS 5","23361", 
"NA","900 SPRINGDALE RD AUSTIN, TX 78702 ","9v6s0ucd","Mobile Food","01-18-2024","COA - HIPPY EATS AND SPIRITUAL HEALING","23338", 
"NA","120 E NORTH LOOP BLVD, AUSTIN, TX 78751","9v6s2r1r","Mobile Food","01-09-2024","COA - SHERPA SNACKS","23257", 
"NA","3004 W SLAUGHTER LN, AUSTIN, TX 78748","9v67tw50","Mobile Food","01-08-2024","COA - TAQUERIA MINA #2","23020", 
"NA","1512 E 6TH ST, AUSTIN, TX 78702","9v6s0jm8","Mobile Food","06-04-2024","COA - TAQUERIA DONA JUANITA","23743", 
"NA","8545 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8ty0","Mobile Food","02-06-2024","COA - EL BUEN TAQUERO #2","23273", 
"(512) 441-4553","2103 W SLAUGHTER LN, AUSTIN, TX 78748","9v67tuv5","Mobile Food","04-23-2024","COA - WINSTON'S KITCHEN","23669", 
"NA","4912 MONTEREY OAKS BLVD, AUSTIN, TX 78749","9v6kj878","Mobile Food","06-14-2024","COA - LA TRAILA #4","22822", 
"NA","1801 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s01e9","Mobile Food","11-16-2023","COA - ROSITAS AL PASTOR","23063", 
"NA","9052 GALEWOOD DR, AUSTIN, TX 78758","9v6sb2qn","Mobile Food","05-09-2023","COA - TAQUERIA GUERRERO #1","22289", 
"NA","6401 AIRPORT BLVD, AUSTIN, TX 78752","9v6s83jb","Mobile Food","05-07-2024","COA - DDUK DDUK","23729", 
"NA","6507 BURNET RD, AUSTIN, TX 78757","9v6kxgkc","Mobile Food","06-06-2023","COA - YENI'S FUSION #1","22411", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","03-12-2024","COA-BOTECO FOOD TRUCK","23629", 
"(512) 792-1461","10001 W PARMER LN, AUSTIN, TX 78717","9v6mrnhx","Mobile Food","06-13-2023","COA - DESI SANDWICH FOODIES ","876139", 
"(512) 452-6268","4112 MEDICAL PKWY AUSTIN, TX 78756 ","9v6krvcy","Mobile Food","02-27-2024","COA - LITTLE HOUSE","23543", 
"NA","8538 RESEARCH BLVD SB AUSTIN, TX 78757 ","9v6s8que","Mobile Food","08-24-2023","COA - TEXICAN TACOS","22729", 
"(512) 906-4459","5604 S CONGRESS AVE, AUSTIN, TX 78745","9v67z4d6","Mobile Food","03-26-2024","COA - M & E BURGERS AND WINGS","23675", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","02-29-2024","COA - LOUIS SIGNATURE CAKES/JAMAICAN CUISINE","23394", 
"(512) 999-2021","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","02-16-2024","COA - DONKEY'S BURRITOS","22352", 
"NA","2819 GUADALUPE ST, AUSTIN, TX 78705","9v6krg42","Mobile Food","10-26-2023","COA - YALLA BURGERS & WINGS","21625", 
"NA","11300 POLLYANNA AVE, AUSTIN, TX 78753","9v6sc61f","Mobile Food","12-21-2023","COA - KITCHEN OF HONDURAS, THE","22138", 
"(830) 310-1844","6546 BURNET RD, AUSTIN, TX 78757","9v6kxgs9","Mobile Food","05-09-2024","COA - ANTOJITOS EL DOBLE SABOR","23717", 
"NA","1300 E MARTIN LUTHER KING JR BLVD, AUSTIN, TX 78722","9v6s20jw","Mobile Food","05-18-2023","COA - EVIL WIENER","21732", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","04-14-2024","COA - PEACE, LOVE AND BURGERS","22669", 
"NA","900 RED RIVER ST, AUSTIN, TX 78701","9v6kpyqt","Mobile Food","06-27-2023","COA - ARLO'S","22497", 
"(512) 952-9140","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","12-12-2023","COA - TACOS EL CHILANGO # 1","23133", 
"(917) 686-5925","2118 S Congress Ave, Austin, TX 78704","9v6kp96w","Mobile Food","06-06-2024","COA - LA JEANSERIA MENSA","23740", 
"NA","4204 MANCHACA RD, AUSTIN, TX 78704","9v67yz3p","Mobile Food","09-19-2023","COA - BRISCUITS","22879", 
"(512) 961-0745","401 E 7TH ST AUSTIN, TX 78701 ","9v6kpyhc","Mobile Food","03-16-2024","COA - SHAKO MAKO MEDITERRANEAN FOOD","22610", 
"NA","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","01-18-2024","COA - GUATEMAYA CUISINE","23343", 
"NA","1906 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0hps","Mobile Food","05-07-2024","COA - UP THE STEAKS & CHEES","23577", 
"NA","509 E BEN WHITE BLVD SVRD EB, AUSTIN, TX 78745","9v67zmng","Mobile Food","08-17-2023","COA - EL TIZON DEL CHEF","22714", 
"NA","2159 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp4kh","Mobile Food","06-27-2023","COA - PATIKA COFFEE 2","22481", 
"NA","2382 SAN ANTONIO ST AUSTIN, TX 78705 ","9v6krc9y","Mobile Food","06-06-2024","COA - ABOUDY TAWOUK LLC","24008", 
"(512) 461-4930","11410 CENTURY OAKS TER , AUSTIN, TX 78758","9v6sbnmw","Mobile Food","06-04-2024","COA - SUCULENTA COMIDA MEXICANA","23744", 
"NA","720 BRAZOS ST, AUSTIN, TX 78701","9v6kpy7h","Mobile Food","02-22-2024","COA - JUICED UP","7982", 
"(512) 269-7262","4311 SPRINGDALE RD, AUSTIN, TX 78723","9v6s31qq","Mobile Food","03-26-2024","COA - TAQUERIA EL VENADO","23688", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","01-06-2023","COA - THE EVEREST KITCHEN","21387", 
"NA","4209 AIRPORT BLVD AUSTIN, TX 78722 ","9v6s2e7d","Mobile Food","02-27-2024","COA - CONSCIOUS CRAVINGS #2","23399", 
"NA","9113 BROW LN AUSTIN, TX 78754 ","9v6s9kt0","Mobile Food","02-08-2024","COA - BIG FRANKS TACOS","23570", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","12-19-2023","COA - LOS PANAS","22943", 
"(512) 662-4821","8538 RESEARCH BLVD SB AUSTIN, TX 78757 ","9v6s8que","Mobile Food","12-12-2023","COA - ESTHER EL BUEN SABOR CHAPIN","23129", 
"NA","1326 ROSEWOOD AVE, AUSTIN, TX 78702","9v6s0nr1","Mobile Food","03-08-2024","COA - ANYTHING'S BAKED POTATO","22623", 
"NA","704 N LAMAR BLVD, AUSTIN, TX 78703","9v6kpx44","Mobile Food","01-22-2024","COA - PEPE'S TACO","22678", 
"NA","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","07-25-2023","COA - MACHETES DONA LEOVA","23142", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","04-30-2024","COA - MI SABOR OAXQUENO","23836", 
"NA","2730 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07rw","Mobile Food","01-24-2023","COA - STACKS ON STACKS LLC ","250424", 
"NA","1200 KRAMER LN, AUSTIN, TX 78758","9v6sbgj4","Mobile Food","05-21-2024","COA - TAQUERIA GLORIA'S","23894", 
"NA","5000 BURNET RD, AUSTIN, TX 78756","9v6krzu3","Mobile Food","04-16-2024","COA - JUDY'S MEDITERRANEAN","23794", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","05-21-2024","COA - COAT & THAI PICNIC","23893", 
"NA","JOLLYVILLE RD, AUSTIN, TX ","9v6kzxq5","Mobile Food","03-30-2023","OOB - COA - TAQUERIA TIERRA CALIENTE #3","21025", 
"NA","9500 S IH 35 SVRD SB Bunit 100, AUSTIN, TX 78748","9v67wdz9","Mobile Food","08-22-2023","COA - SMOKIN' BREW-B-Q #2","22723", 
"(713) 492-7717","1319 ROSEWOOD AVE, AUSTIN, TX 78702","9v6s0npp","Mobile Food","03-09-2024","COA - DISCADA","22914", 
"NA","2718 GUADALUPE ST, AUSTIN, TX 78705","9v6krfdt","Mobile Food","03-11-2023","COA - DONUT AND CHICK","21107", 
"(512) 915-0444","11401 FM 2222 RD, AUSTIN, TX 78730","9v6kv973","Mobile Food","10-31-2023","COA - TACOS 620 #2","23059", 
"(512) 884-0542","1433 W WELLS BRANCH PKWY, AUSTIN, TX 78660","9v6t1tdd","Mobile Food","03-16-2023","COA - TACOS GUTIERREZ","22169", 
"NA","5100 BURNET RD, AUSTIN, TX 78756","9v6kxbh0","Mobile Food","07-25-2023","COA - ZIKI KITCHEN","Z9", 
"(512) 699-5781","1209 S 1ST ST, AUSTIN, TX 78704","9v6kpe4g","Mobile Food","04-04-2024","COA - JUANITA'S TACOS","23788", 
"NA","1704 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0hq1","Mobile Food","12-12-2023","COA - NIMTO NEPALI KITCHEN","23103", 
"NA","2020-2108 S CONGRESS AVE, AUSTIN, ","9v6kp9du","Mobile Food","12-19-2023","COA - NOURISHED ATX","22944", 
"NA","617 W 6TH ST, AUSTIN, TX 78701","9v6kpwmj","Mobile Food","07-27-2023","COA - ATX SLIDERS","22317", 
"NA","1901 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp68r","Mobile Food","08-01-2023","COA - KIIN DI","23207", 
"NA","6400 BRODIE LN, AUSTIN, TX 78745","9v67vv6c","Mobile Food","01-04-2024","COA - TACO BREAK #2","23261", 
"NA","15101 FM 1825 RD, AUSTIN, TX 78660","9v6t1w51","Mobile Food","10-12-2023","COA - DD'S TACO LLC","22797", 
"NA","2382 SAN ANTONIO ST AUSTIN, TX 78705 ","9v6krc9y","Mobile Food","01-11-2023","COA - STREET CONE LLC","21357", 
"NA","2512 RIO GRANDE ST, AUSTIN, TX 78705","9v6krf0x","Mobile Food","09-12-2023","COA - LE BEIRUT PIZZA & PASTRIES","22872", 
"NA","2512 RIO GRANDE ST AUSTIN, TX 78705 ","9v6krf0x","Mobile Food","12-14-2023","COA - ESPADAS DE BRAZIL, LLC","22563", 
"NA","13404 FM 969 RD, AUSTIN, TX 78724","9v6s55p2","Mobile Food","01-28-2023","TC - JD'S TACO","5345", 
"NA","1637 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s01fe","Mobile Food","12-14-2023","COA - TAKAVRON GLOBAL","23200", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT CP101","8080", 
"NA","510 W OLTORF ST, AUSTIN, TX 78704","9v6kp3q7","Mobile Food","01-04-2024","YENI'S FUSION","21273", 
"(210) 478-8251","1300 E 6TH ST, AUSTIN, TX 78702","9v6s0j7t","Mobile Food","10-31-2023","COA - LUCKY DUCK, THE","23057", 
"NA","10401 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc102","Mobile Food","08-17-2023","COA - MISTER MARIACHI","23150", 
"NA","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","05-23-2024","COA - KEIKEN","23882", 
"(505) 515-9923","3504 MONTOPOLIS DR, AUSTIN, TX 78744","9v6eb7jw","Mobile Food","10-05-2023","COA - SIDE EYE SLICE","22675", 
"NA","5608 MANCHACA RD, AUSTIN, TX 78745","9v67ys92","Mobile Food","08-08-2023","MORENO BBQ LLC ","762923", 
"NA","6214 N LAMAR BLVD, AUSTIN, TX 78752","9v6s81xh","Mobile Food","08-10-2023","COA - AUSTIN ASIAN FOOD TRUCK","22523", 
"NA","11700 N IH 35 SVRD SB Unit A, AUSTIN, TX 78753","9v6sc759","Mobile Food","06-22-2023","COA - TONY'S JAMAICAN FOOD #2","22541", 
"NA","5313 MANOR RD, AUSTIN, TX 78723","9v6s3h5c","Mobile Food","03-05-2024","COA - COFFEE CARTEL LLC","7977", 
"NA","2406 S US 183 HWY SB, AUSTIN, TX 78744","9v6d324j","Mobile Food","11-21-2023","COA - REYNA'S FOOD SERVICE","22643", 
"NA","2604 GUADALUPE ST, AUSTIN, TX 78705","9v6krf6f","Mobile Food","10-31-2023","COA - ROPPOLO'S PIZZERIA TROLLEY #1","23054", 
"NA","4400 E BEN WHITE BLVD AUSTIN, TX 78741 ","9v6ebh85","Mobile Food","05-30-2024","COA - TAQUERIA LOS COCHOS","23750", 
"NA","5201 N LAMAR BLVD, AUSTIN, TX 78751","9v6s2pe0","Mobile Food","03-19-2024","COA - BIRRIERIA MAMA ROSA","23644", 
"(512) 806-4880","1805 S AIRPORT BLVD AUSTIN, TX 78702 ","9v6s28wf","Mobile Food","02-29-2024","COA - BUSSIN BUNS #2","23532", 
"(512) 473-9415",", AUSTIN, TX ","9v6kpvcw","Mobile Food","05-30-2024","COA - TACOMAN512","22529", 
"NA","2420 W BRAKER LN, AUSTIN, TX 78758","9v6sbkkn","Mobile Food","09-07-2023","COA - LATIN FUSION LLC ","863485", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT BP127","8069", 
"NA","500 S LAMAR BLVD, AUSTIN, TX 78704","9v6kpky0","Mobile Food","04-25-2024","COA - THAT FOOD TRUCK LLC ","994406", 
"NA","311 W 3RD ST, AUSTIN, TX 78701","9v6kptyb","Mobile Food","08-07-2023","COA - MALONE SPECIALTY COFFEE","22391", 
"NA","9708 ANDERSON MILL RD, AUSTIN, TX 78750","9v6mnwut","Mobile Food","11-20-2023","COA - TAQUERIA EL PUEBLITO ","476887", 
"NA","3908 AVENUE B , AUSTIN, TX 78751","9v6kruyb","Mobile Food","04-02-2024","COA - TERRIBLE LOVE","23760", 
"(512) 596-8821","4600 TERI RD, AUSTIN, TX 78744","9v67zc1r","Mobile Food","10-24-2023","COA - TIPICOS HONDURENOS","22860", 
"NA","15101 FM 1825 RD, AUSTIN, TX 78660","9v6t1w51","Mobile Food","07-20-2023","COA - CASITA VIZUET","22321", 
"NA","1835 COLONY CREEK DR AUSTIN, TX 78758 ","9v6sb2tb","Mobile Food","01-30-2024","COA - TAQUERIA SAMARA #2","23290", 
"NA","604 DRISKILL ST, AUSTIN, TX 78701","9v6kpuvh","Mobile Food","02-20-2024","COA - TACOBABY #2","23409", 
"(512) 317-7321","203 W PARSONS ST, MANOR, TX 78653","9v6segx8","Mobile Food","05-07-2024","COA - IWAYNE'S CARIBBEAN KITCHEN","23726", 
"(512) 998-0234","11410 CENTURY OAKS TER , AUSTIN, TX 78758","9v6sbnmw","Mobile Food","02-27-2024","COA - CHILLS SHAVED ICE, THE","23541", 
"NA","10400 MANCHACA RD AUSTIN, TX 78748 ","9v67tggf","Mobile Food","05-09-2024","COA - DAVID DOUGHIE'S","23847", 
"NA","2139 SAN JACINTO BLVD, AUSTIN, TX 78712","9v6s20cr","Mobile Food","12-20-2023","COA - AMY'S ICE CREAMS, INC. #2","22272", 
"(512) 221-6550","1124 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0vgg","Mobile Food","03-26-2024","COA - MI COMIDA LATINA","23377", 
"NA","2512 RIO GRANDE ST AUSTIN, TX 78705 ","9v6krf0x","Mobile Food","03-09-2024","COA - PASTELARIA SAO PAULO 2","22611", 
"(512) 540-5076","214-1/2 E ANDERSON LN WB, AUSTIN, TX 78753","9v6s8eyn","Mobile Food","06-04-2024","COA - TACOS EL MEJOR","23745", 
"NA","2312 S 1ST ST, AUSTIN, TX 78704","9v6kp3tb","Mobile Food","11-28-2023","COA - TOMMY WANT WINGY 2.0","23110", 
"NA","2538 ELMONT DR, AUSTIN, TX 78741","9v6s02fs","Mobile Food","08-08-2023","COA - SABOR A HONDURAS #2","23173", 
"(512) 508-3849","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","04-02-2024","COA - KESSHO #2","23707", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT BP 121 ","686827", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","05-24-2024","COA - ARTURO'S TACOS- 22459 ","362368", 
"NA","102 W 3RD ST AUSTIN, TX 78701 ","9v6kpv8t","Mobile Food","02-13-2024","COA - TAMIYA'S TASTY TREATS","23519", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","05-07-2024","COA - DSPOT, THE","23812", 
"NA","440 E ST ELMO RD STE B-2 AUSTIN, TX 78745 ","9v67zku0","Mobile Food","10-16-2023","COA - TEXAS SUSHIKO ","575321", 
"(512) 658-9369","729 E SLAUGHTER LN, AUSTIN, TX 78744","9v67x42t","Mobile Food","11-21-2023","COA - KIKOS TACOS","22642", 
"(609) 241-4609","701 TRINITY ST, AUSTIN, TX 78701","9v6kpyhy","Mobile Food","03-13-2024","COA - AUSTIN GYRO HALAL LLC","22894", 
"NA","1503 S 1ST ST, AUSTIN, TX 78704","9v6kpdc2","Mobile Food","09-05-2023","COA - GOURDOUGH'S #1","22813", 
"NA","11200 LAKELINE MALL DR., STE. 69 CEDAR PARK, TX 78613 ","9v6mq6fu","Mobile Food","10-19-2023","COA - TINY CANTINA AT LAKELINE ","240316", 
"NA","5608 MANCHACA RD, AUSTIN, TX 78745","9v67ys92","Mobile Food","08-08-2023","MORENO BBQ LLC ","497881", 
"(512) 632-7323","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","02-21-2023","TC - JIM'S SMOKEHOUSE #2 ","179975", 
"NA","8538 RESEARCH BLVD AUSTIN, TX 78758 ","9v6s8que","Mobile Food","05-16-2024","COA - TACOMANIA LOS ATREVIDO #2","23900", 
"NA","7110 CAMERON RD, AUSTIN, TX 78752","9v6s8btu","Mobile Food","10-10-2023","COA - TOMAS TACOS","22801", 
"(512) 970-1697","4101 S 1ST ST, AUSTIN, TX 78745","9v67znq4","Mobile Food","05-09-2024","COA - OLE TACO ","836163", 
"(713) 409-1566","415 E ST ELMO RD, AUSTIN, TX 78745","9v67zk7e","Mobile Food","10-16-2023","COA - WHAM BAM","21783", 
"(512) 203-0793","6305 CAMERON RD, AUSTIN, TX 78723","9v6s2zsm","Mobile Food","01-11-2024","COA - EL POLLO RICO EXPRESS #2","23313", 
"NA","1119 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0vu3","Mobile Food","04-02-2024","COA - TAQUERIA LA LIBERTAD","23678", 
"(832) 292-8250","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","09-21-2023","COA - 4 U PIZZA","22773", 
"NA","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","05-28-2024","COA - DELICIAS LA TAJAD","23852", 
"(254) 913-8189","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","03-15-2024","COA - ASIAN KITCHEN #3","23201", 
"NA","3225 AMY DONOVAN PLZ, AUSTIN, TX 78758","9v6sbjkw","Mobile Food","05-11-2023","COA - WAGYU YUME","22403", 
"NA","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","03-16-2024","SHAWARMA POINT #2","23395", 
"(512) 529-6067","408 E RUNDBERG LN, AUSTIN, TX 78753","9v6s9nb5","Mobile Food","08-22-2023","PUPUSERIA LA BENDICION #2","22725", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","09-07-2023","COA - SABOR CUBANO EL HABANERO ","578266", 
"NA","9433 PARKFIELD DR, AUSTIN, TX 78758","9v6sb8mh","Mobile Food","08-10-2023","COA - LA HAWAIIANA INC #3 ","836028", 
"NA","318 E 5TH ST, AUSTIN, TX 78701","9v6kpvgg","Mobile Food","03-21-2024","COA - ALI GYRO HALAL 2","23690", 
"NA","628 E OLTORF ST, AUSTIN, TX 78704","9v6kp8t2","Mobile Food","09-21-2023","COA - CON MADRE COCINA #2","22776", 
"NA","5604 S CONGRESS AVE, AUSTIN, TX 78745","9v67z4d6","Mobile Food","01-22-2024","COA - EL TORO TAPATIO","22772", 
"(512) 783-4577","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","02-27-2024","COA - JIM'S SMOKEHOUSE LLC","23548", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","05-03-2024","COA - TACOS REGIO AL VAPOR DE AUSTIN #3","22057", 
"NA","9406 DESSAU RD, AUSTIN, TX 78754","9v6s9m63","Mobile Food","05-23-2024","COA - LOS REYES DEL TACO #2","22596", 
"NA","900 SPRINGDALE RD AUSTIN, TX 78702 ","9v6s0ucd","Mobile Food","01-18-2024","COA - ST BENEDICT COFFEE COMPANY","21967", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT NP123","8029", 
"NA","2118 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp96w","Mobile Food","11-22-2023","COA - KINGSTON 19","22576", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","03-12-2024","COA - FOUR BROTHERS - RAINEY","23626", 
"NA","1412 E 6TH ST, AUSTIN, TX 78702","9v6s0jkf","Mobile Food","07-11-2023","COA - MISSION DOGS","7938", 
"(512) 902-0588","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","11-17-2023","COA - BARBAS TACOS","23052", 
"NA","4204 MANCHACA RD, AUSTIN, TX 78704","9v67yz3p","Mobile Food","09-19-2023","COA - DEE DEE - GOOD GOOD LLC","22882", 
"NA","2118 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp96w","Mobile Food","05-02-2024","COA - HOGAN'S JAMACIAN FOOD SPOT","23652", 
"NA","408 E RUNDBERG LN, AUSTIN, TX 78753","9v6s9nb5","Mobile Food","09-19-2023","COA - TORTAS Y TACOS LA CHINA","22786", 
"NA","1600 W 5TH ST, AUSTIN, TX 78703","9v6kpr4z","Mobile Food","03-07-2023","COA - MOODY'S MIGHTY PORK & STUFF","22079", 
"(512) 701-9243","717 MONTOPOLIS DR, AUSTIN, TX 78741","9v6s0bkt","Mobile Food","11-07-2023","COA - LA MEDIA LUNA","23043", 
"NA","3526 E 7TH ST, AUSTIN, TX 78702","9v6s0sp8","Mobile Food","05-30-2024","COA - PEDROSO'S PIZZA II","23961", 
"(917) 514-5365","318 E 5TH ST, AUSTIN, TX 78701","9v6kpvgg","Mobile Food","08-31-2023","TCHIADAI","22739", 
"NA","701 TRINITY ST, AUSTIN, TX 78701","9v6kpyhy","Mobile Food","05-07-2024","COA - YUMMY GYRO","23816", 
"NA","5700 MANCHACA RD Unit 200, AUSTIN, TX 78745","9v67ykxc","Mobile Food","12-27-2023","COA - THE TEXARICAN512 LLC","23138", 
"NA","915 W OLTORF ST, AUSTIN, TX 78704","9v6kp3dk","Mobile Food","02-27-2024","COA - TAQUERIA LA GUERA #2","23392", 
"(512) 596-8778","1910 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0hps","Mobile Food","02-08-2024","COA - TAQUERIA JOHNNY TACOS 1.0","23567", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","UNIT BP 1011","8083", 
"NA","4700 S CONGRESS AVE, AUSTIN, TX 78745","9v67zhwg","Mobile Food","06-03-2023","COA - KRAB KINGZ #2","21928", 
"NA","8819 N LAMAR BLVD AUSTIN, TX 78753 ","9v6s8y28","Mobile Food","04-25-2024","COA - EL SAZON CHAPIN","23802", 
"NA","7028 WOOD HOLLOW DR, AUSTIN, TX 78731","9v6kxt91","Mobile Food","02-15-2024","COA - ANTOJITOS EL FLACO","23556", 
"NA","2901 S CAPITAL OF TEXAS HWY NB AUSTIN, TX 78746 ","9v6knk4v","Mobile Food","08-18-2023","COA - MAPLE CORN ","730485", 
"NA","2701 W WILLIAM CANNON DR, AUSTIN, TX 78745","9v67y4uj","Mobile Food","05-26-2024","COA - BUBBITA SHAVED ICE ISLAND","23804", 
"NA","7200 CAMERON RD, AUSTIN, TX 78752","9v6s8by9","Mobile Food","11-07-2023","COA - RODRIGUEZ-A-TAQUERIA","22820", 
"NA","504 W OLTORF ST, AUSTIN, TX 78704","9v6kp3qe","Mobile Food","04-19-2024","COA - BYBLOS CAFE","22741", 
